sampleID_NGI	sampleID_SEQ	sampleID_FIELD	sampleID_LAB	dataset	lab_sample_type	country	biological_spikes	artificial_spikes	sample_metadata_file	lysate_rack_ID	lysate_well_ID	dna_plate_ID	dna_plate_well_ID	sequencing_batch	sequencing_batch_NGI	notes
P26762_1193	FL052_L104727	SQI8FH	L104727	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A1	3000491448	A1	batch13	P26762	NA
P26762_1201	FL052_L104728	SBPJD4	L104728	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A2	3000491448	A2	batch13	P26762	NA
P26762_1209	FL052_L104729	SPQGXG	L104729	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A3	3000491448	A3	batch13	P26762	NA
P26762_1217	FL052_L104730	SF4JYX	L104730	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A4	3000491448	A4	batch13	P26762	NA
P26762_1225	FL052_L104731	SHWTJS	L104731	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A5	3000491448	A5	batch13	P26762	NA
P26762_1233	FL052_L104732	SS5DDZ	L104732	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A6	3000491448	A6	batch13	P26762	NA
P26762_1241	FL052_L104733	S13NDZ	L104733	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A7	3000491448	A7	batch13	P26762	NA
P26762_1249	FL052_L104735	S8HTDP	L104735	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A8	3000491448	A8	batch13	P26762	NA
P26762_1257	FL052_L104736	S6Q34Q	L104736	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A9	3000491448	A9	batch13	P26762	NA
P26762_1265	FL052_L104737	SKKHEJ	L104737	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A10	3000491448	A10	batch13	P26762	NA
P26762_1273	FL052_L104738	SMP7JM	L104738	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A11	3000491448	A11	batch13	P26762	NA
P26762_1281	FL052_L104739	SVJHHA	L104739	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	A12	3000491448	A12	batch13	P26762	NA
P26762_1194	FL052_L104740	SW6EUE	L104740	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B1	3000491448	B1	batch13	P26762	NA
P26762_1202	FL052_L104741	STSCVG	L104741	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B2	3000491448	B2	batch13	P26762	NA
P26762_1210	FL052_L104742	SD4PC3	L104742	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B3	3000491448	B3	batch13	P26762	NA
P26762_1218	FL052_L104743	SDUEDF	L104743	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B4	3000491448	B4	batch13	P26762	NA
P26762_1226	FL052_L104744	SMRZDA	L104744	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B5	3000491448	B5	batch13	P26762	NA
P26762_1234	FL052_L104745	SVNIIT	L104745	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B6	3000491448	B6	batch13	P26762	NA
P26762_1242	FL052_L104746	SYGUFX	L104746	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B7	3000491448	B7	batch13	P26762	NA
P26762_1250	FL052_L104747	SCDCHB	L104747	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B8	3000491448	B8	batch13	P26762	NA
P26762_1258	FL052_L104748	SF3844	L104748	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B9	3000491448	B9	batch13	P26762	NA
P26762_1266	FL052_L104749	SH3D43	L104749	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B10	3000491448	B10	batch13	P26762	NA
P26762_1274	FL052_L104750	SFZKC2	L104750	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B11	3000491448	B11	batch13	P26762	NA
P26762_1282	FL052_L104751	SA74Q7	L104751	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	B12	3000491448	B12	batch13	P26762	NA
P26762_1195	FL052_L104752	STSQDF	L104752	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C1	3000491448	C1	batch13	P26762	NA
P26762_1203	FL052_L104753	SBTHD2	L104753	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C2	3000491448	C2	batch13	P26762	NA
P26762_1211	FL052_L104754	SWUCRZ	L104754	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C3	3000491448	C3	batch13	P26762	NA
P26762_1219	FL052_L104755	SPSZDZ	L104755	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C4	3000491448	C4	batch13	P26762	NA
P26762_1227	FL052_L104756	SIJ6FR	L104756	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C5	3000491448	C5	batch13	P26762	NA
P26762_1235	FL052_L104757	SAXPPD	L104757	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C6	3000491448	C6	batch13	P26762	NA
P26762_1243	FL052_L104758	SDP5BB	L104758	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C7	3000491448	C7	batch13	P26762	NA
P26762_1251	FL052_L104759	SVZ92U	L104759	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C8	3000491448	C8	batch13	P26762	NA
P26762_1259	FL052_L104760	S94MIJ	L104760	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C9	3000491448	C9	batch13	P26762	NA
P26762_1267	FL052_L104761	SNQ3GR	L104761	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C10	3000491448	C10	batch13	P26762	NA
P26762_1275	FL052_L104762	SUZSLX	L104762	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C11	3000491448	C11	batch13	P26762	NA
P26762_1283	FL052_L104763	SU58CQ	L104763	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	C12	3000491448	C12	batch13	P26762	NA
P26762_1196	FL052_L104764	S4VXYL	L104764	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	D1	3000491448	D1	batch13	P26762	NA
P26762_1204	FL052_L104765	S6YL4B	L104765	CO1_lysate_2019_MG	sample	Madagascar	TRUE	FALSE	samples_metadata_malaise_MG_2019	FL052	D2	3000491448	D2	batch13	P26762	NA
