sampleID_FIELD	trapID	transectID	biomass_grams	time	date	litter_depth_cm_0	litter_depth_cm_1	litter_depth_cm_2	litter_depth_cm_3	litter_depth_cm_4	sample_accession_ENA	sample_status
SVWK2H	TNKTYG	4	1.61	08:00:00	4/15/2020	1.5	1	2	1	3	ERS19011719	sample processed and sequenced
SN2HAM	TNKTYG	1	1.652	08:00:00	4/15/2020	1.5	1	2	1	3	ERS19011720	sample processed and sequenced
SRNZLW	TAVVN5	4	3.299	07:55:00	4/16/2020	2	2.5	2	3	3.5	ERS19011721	sample processed and sequenced
SJBKAQ	TFWNLD	2	20.647	07:07:00	3/12/2020	4.5	4	3.5	4	3.5	ERS19011722	sample processed and sequenced
SN5HGL	THI5PX	3	3.374	09:00:00	4/20/2020	1	1	0.6	1	1.5	ERS19011723	sample processed and sequenced
SLS8JL	TNQVM4	1	6.599	07:22:00	10/9/2020	2	2	2.5	3	2	ERS19011724	sample processed and sequenced
S7LCNP	TQKQRH	4	1.539	07:30:00	10/8/2020	1	1	1	1.5	2	ERS19011725	sample processed and sequenced
SVKZWW	TRKQU5	4	1.665	07:30:00	4/23/2020	1	1.5	1	1.5	1	ERS19011726	sample processed and sequenced
S5MGWK	T3JY78	2	3.307	06:55:00	3/19/2020	0	0	0.5	0.5	0.5	ERS19011727	sample processed and sequenced
SZNGZX	T9VS8I	4	5.607	07:15:00	10/10/2020	0.5	1	0.5	1	0.5	ERS19011728	sample processed and sequenced
SUBPBH	TRKQU5	2	1.586	07:30:00	4/23/2020	1	1.5	1	1.5	1	ERS19011729	sample processed and sequenced
SLIND8	TK1MIJ	1	2.463	07:00:00	11/9/2020	1	0.9	1.2	1	1.1	ERS19011730	sample processed and sequenced
SLCWXB	THI5PX	4	2.9	09:00:00	4/20/2020	1	1	0.6	1	1.5	ERS19011731	sample processed and sequenced
SAVUKM	THI5PX	2	2.033	09:00:00	4/20/2020	1	1	0.6	1	1.5	ERS19011732	sample processed and sequenced
SKVJD9	TGJ4FW	1	2.559	07:10:00	1/9/2020	1	6	3	3	5	ERS19011733	sample processed and sequenced
SWKIHX	TEGSKQ	4	4.35	08:30:00	11/6/2020	2	7	2	9	2	ERS19011734	sample processed and sequenced
SWZB1H	TPSMAA	3	1.705	07:50:00	9/10/2020	6	16	13	8	9	ERS19011735	sample processed and sequenced
SCAMZY	TNQVM4	2	4.544	07:22:00	10/9/2020	2	2	2.5	3	2	ERS19011736	sample processed and sequenced
SIJKLD	TK1MIJ	2	3.252	07:00:00	11/9/2020	1	0.9	1.2	1	1.1	ERS19011737	sample processed and sequenced
SSKVQG	TQKQRH	1	1.907	07:30:00	10/8/2020	1	1	1	1.5	2	ERS19011738	sample processed and sequenced
S3ACI1	TKRH5P	2	1.687	09:00:00	2/29/2020	3	2.6	3.9	1.8	4.2	ERS19011739	sample processed and sequenced
SW88MC	TRKQU5	3	3.629	07:30:00	4/23/2020	1	1.5	1	1.5	1	ERS19011740	sample processed and sequenced
SJ4IQY	TKRH5P	4	2.067	09:00:00	2/29/2020	3	2.6	3.9	1.8	4.2	ERS19011741	sample processed and sequenced
SJHXWA	TG1QMA	1	2.012	07:15:00	1/9/2020	3.5	3.7	4	2	3	ERS19011742	sample processed and sequenced
SSBNW8	TNQVM4	3	6.398	07:22:00	10/9/2020	2	2	2.5	3	2	ERS19011743	sample processed and sequenced
SXMFTC	TEGSKQ	1	3.318	08:30:00	11/6/2020	2	7	2	9	2	ERS19011744	sample processed and sequenced
SBWUVJ	TEYXBT	4	2.524	07:15:00	11/3/2020	20	22	27	24	25	ERS19011745	sample processed and sequenced
SZ4XDG	TULADB	2	3.775	07:30:00	9/27/2020	4	1	7	2	2.5	ERS19011746	sample processed and sequenced
SZFPKY	TKRH5P	1	1.436	09:00:00	2/29/2020	3	2.6	3.9	1.8	4.2	ERS19011747	sample processed and sequenced
SIYP6S	T4ZF4M	4	5.99	08:05:00	3/5/2020	1	2	6	10	5	ERS19011748	sample processed and sequenced
SHQKWI	TP2FUA	4	2.575	12:20:00	1/8/2020	5	4	2	10	5	ERS19011749	sample processed and sequenced
SDJL8S	TULADB	1	2.637	07:30:00	9/27/2020	4	1	7	2	2.5	ERS19011750	sample processed and sequenced
SGSKWZ	TFBCWJ	4	6.106	06:42:00	9/26/2020	1	5	7	6	5.7	ERS19011751	sample processed and sequenced
SNGL3V	TP2FUA	3	1.945	12:20:00	1/8/2020	5	4	2	10	5	ERS19011752	sample processed and sequenced
SUPSXE	TG6SK4	2	3.689	07:35:00	11/24/2020	1.5	2.5	3	6	3	ERS19011753	sample processed and sequenced
SNSVZS	TIYMCS	3	6.442	07:10:00	3/8/2020	9	4	4.5	5	4	ERS19011754	sample processed and sequenced
SNIA36	TR4LDL	1	9.183	08:00:00	2/16/2020	2	3	6	4	3	ERS19011755	sample processed and sequenced
SI2D1L	TR4LDL	2	3.711	08:00:00	2/16/2020	2	3	6	4	3	ERS19011756	sample processed and sequenced
SSMBNW	TKDVTA	4	20.854	06:27:00	9/25/2020	6	5	4	6	9	ERS19011757	sample processed and sequenced
SV15SF	T4ZF4M	3	6.731	08:05:00	3/5/2020	1	2	6	10	5	ERS19011758	sample processed and sequenced
SGFPLE	TDY8SA	1	6.019	07:25:00	10/20/2020	16	19	24	20	12	ERS19011759	sample processed and sequenced
S4XPK6	TZJWN3	3	3.731	07:04:00	10/27/2020	1.5	11	12	5	10.5	ERS19011760	sample processed and sequenced
SNUPZ1	TRGIDB	2	3.256	07:05:00	10/16/2020	2	8	9	12	20	ERS19011761	sample processed and sequenced
SPTYQG	TDY8SA	2	2.381	07:25:00	10/20/2020	16	19	24	20	12	ERS19011762	sample processed and sequenced
SM3ZQG	TG6SK4	4	3.379	07:35:00	11/24/2020	1.5	2.5	3	6	3	ERS19011763	sample processed and sequenced
SMITZD	TGJ4FW	4	11.416	07:10:00	1/9/2020	1	6	3	3	5	ERS19011764	sample processed and sequenced
S28PMN	TUAPDE	1	4.614	08:00:00	4/17/2020	1	1.5	1	1	1.5	ERS19011765	sample processed and sequenced
SC7BC9	TRA8W1	1	2.22	08:30:00	11/14/2020	2	2	5.4	10.3	8	ERS19011766	sample processed and sequenced
SCPDDG	TDY8SA	4	1.823	07:25:00	10/20/2020	16	19	24	20	12	ERS19011767	sample processed and sequenced
SHA7MS	TN1QSL	1	1.232	08:00:00	2/23/2020	3.5	3	1.5	4	3	ERS19011768	sample processed and sequenced
SZKPGX	TEGSKQ	3	3.296	08:30:00	11/6/2020	2	7	2	9	2	ERS19011769	sample processed and sequenced
S8CSZJ	TRA8W1	2	1.473	08:30:00	11/14/2020	2	2	5.4	10.3	8	ERS19011770	sample processed and sequenced
SLJAJN	TRGIDB	1	3.654	07:05:00	10/16/2020	2	8	9	12	20	ERS19011771	sample processed and sequenced
SGEBUA	TRA8W1	3	3.667	08:30:00	11/14/2020	2	2	5.4	10.3	8	ERS19011772	sample processed and sequenced
SE4SDM	TRGIDB	3	2.858	07:05:00	10/16/2020	2	8	9	12	20	ERS19011773	sample processed and sequenced
S4J1B7	TRGIDB	4	2.758	07:05:00	10/16/2020	2	8	9	12	20	ERS19011774	sample processed and sequenced
SUAY6K	TPQKYN	1	2.607	07:50:00	2/9/2020	4	3.5	3	2	5	ERS19011775	sample processed and sequenced
SYCQKH	TFBCWJ	3	3.311	06:42:00	9/26/2020	1	5	7	6	5.7	ERS19011776	sample processed and sequenced
SYYIFA	TG6SK4	3	7.785	07:35:00	11/24/2020	1.5	2.5	3	6	3	ERS19011777	sample processed and sequenced
SQICSK	TR4LDL	3	5.057	08:00:00	2/16/2020	2	3	6	4	3	ERS19011778	sample processed and sequenced
SULVBI	TDKTHY	2	4.175	07:15:00	11/4/2020	8	29	30	16	13	ERS19011779	sample processed and sequenced
S5NRPT	TULADB	3	6.053	07:30:00	9/27/2020	4	1	7	2	2.5	ERS19011780	sample processed and sequenced
SYQEJY	THYGHQ	2	7.489	07:18:00	2/8/2020	0.4	5	5	2	5	ERS19011781	sample processed and sequenced
SEGTRW	TULADB	4	7.209	07:30:00	9/27/2020	4	1	7	2	2.5	ERS19011782	sample processed and sequenced
SY9V94	TAVVN5	2	3.675	07:55:00	4/16/2020	2	2.5	2	3	3.5	ERS19011783	sample processed and sequenced
