sampleID_FIELD	trapID	transectID	biomass_grams	date	time	sample_accession_ENA	sample_status
SVWK2H	TNKTYG	4	1.61	4/15/2020	08:00:00	ERS19011719	sample processed and sequenced
SN2HAM	TNKTYG	1	1.652	4/15/2020	08:00:00	ERS19011720	sample processed and sequenced
SRNZLW	TAVVN5	4	3.299	4/16/2020	07:55:00	ERS19011721	sample processed and sequenced
SJBKAQ	TFWNLD	2	20.647	3/12/2020	07:07:00	ERS19011722	sample processed and sequenced
SN5HGL	THI5PX	3	3.374	4/20/2020	09:00:00	ERS19011723	sample processed and sequenced
SLS8JL	TNQVM4	1	6.599	10/9/2020	07:22:00	ERS19011724	sample processed and sequenced
S7LCNP	TQKQRH	4	1.539	10/8/2020	07:30:00	ERS19011725	sample processed and sequenced
SVKZWW	TRKQU5	4	1.665	4/23/2020	07:30:00	ERS19011726	sample processed and sequenced
S5MGWK	T3JY78	2	3.307	3/19/2020	06:55:00	ERS19011727	sample processed and sequenced
SZNGZX	T9VS8I	4	5.607	10/10/2020	07:15:00	ERS19011728	sample processed and sequenced
SUBPBH	TRKQU5	2	1.586	4/23/2020	07:30:00	ERS19011729	sample processed and sequenced
SLIND8	TK1MIJ	1	2.463	11/9/2020	07:00:00	ERS19011730	sample processed and sequenced
SLCWXB	THI5PX	4	2.9	4/20/2020	09:00:00	ERS19011731	sample processed and sequenced
SAVUKM	THI5PX	2	2.033	4/20/2020	09:00:00	ERS19011732	sample processed and sequenced
SKVJD9	TGJ4FW	1	2.559	1/9/2020	07:10:00	ERS19011733	sample processed and sequenced
SWKIHX	TEGSKQ	4	4.35	11/6/2020	08:30:00	ERS19011734	sample processed and sequenced
SWZB1H	TPSMAA	3	1.705	9/10/2020	07:50:00	ERS19011735	sample processed and sequenced
SCAMZY	TNQVM4	2	4.544	10/9/2020	07:22:00	ERS19011736	sample processed and sequenced
SIJKLD	TK1MIJ	2	3.252	11/9/2020	07:00:00	ERS19011737	sample processed and sequenced
SSKVQG	TQKQRH	1	1.907	10/8/2020	07:30:00	ERS19011738	sample processed and sequenced
S3ACI1	TKRH5P	2	1.687	2/29/2020	09:00:00	ERS19011739	sample processed and sequenced
SW88MC	TRKQU5	3	3.629	4/23/2020	07:30:00	ERS19011740	sample processed and sequenced
SJ4IQY	TKRH5P	4	2.067	2/29/2020	09:00:00	ERS19011741	sample processed and sequenced
SJHXWA	TG1QMA	1	2.012	1/9/2020	07:15:00	ERS19011742	sample processed and sequenced
SSBNW8	TNQVM4	3	6.398	10/9/2020	07:22:00	ERS19011743	sample processed and sequenced
SXMFTC	TEGSKQ	1	3.318	11/6/2020	08:30:00	ERS19011744	sample processed and sequenced
SBWUVJ	TEYXBT	4	2.524	11/3/2020	07:15:00	ERS19011745	sample processed and sequenced
SZ4XDG	TULADB	2	3.775	9/27/2020	07:30:00	ERS19011746	sample processed and sequenced
SZFPKY	TKRH5P	1	1.436	2/29/2020	09:00:00	ERS19011747	sample processed and sequenced
SIYP6S	T4ZF4M	4	5.99	3/5/2020	08:05:00	ERS19011748	sample processed and sequenced
SHQKWI	TP2FUA	4	2.575	1/8/2020	12:20:00	ERS19011749	sample processed and sequenced
SDJL8S	TULADB	1	2.637	9/27/2020	07:30:00	ERS19011750	sample processed and sequenced
SGSKWZ	TFBCWJ	4	6.106	9/26/2020	06:42:00	ERS19011751	sample processed and sequenced
SNGL3V	TP2FUA	3	1.945	1/8/2020	12:20:00	ERS19011752	sample processed and sequenced
SUPSXE	TG6SK4	2	3.689	11/24/2020	07:35:00	ERS19011753	sample processed and sequenced
SNSVZS	TIYMCS	3	6.442	3/8/2020	07:10:00	ERS19011754	sample processed and sequenced
SNIA36	TR4LDL	1	9.183	2/16/2020	08:00:00	ERS19011755	sample processed and sequenced
SI2D1L	TR4LDL	2	3.711	2/16/2020	08:00:00	ERS19011756	sample processed and sequenced
SSMBNW	TKDVTA	4	20.854	9/25/2020	06:27:00	ERS19011757	sample processed and sequenced
SV15SF	T4ZF4M	3	6.731	3/5/2020	08:05:00	ERS19011758	sample processed and sequenced
SGFPLE	TDY8SA	1	6.019	10/20/2020	07:25:00	ERS19011759	sample processed and sequenced
S4XPK6	TZJWN3	3	3.731	10/27/2020	07:04:00	ERS19011760	sample processed and sequenced
SNUPZ1	TRGIDB	2	3.256	10/16/2020	07:05:00	ERS19011761	sample processed and sequenced
SPTYQG	TDY8SA	2	2.381	10/20/2020	07:25:00	ERS19011762	sample processed and sequenced
