trapID	latitude_WGS84	longitude_WGS84	trap_habitat	trap_type	QRcode_page	siteID_number	parkID	province	trap_manager
TW51Z9	-12.278013	49.381504	Dry_Forest	Single_trap	260	1	Paysage Harmonieux Protégé d'Oronjia	ANTSIRANANA	Fredonat
TNKTYG	-12.514783	49.181247	Rainforest	Multitrap	257	2	Parc National de Montagne d'Ambre	ANTSIRANANA	Rabe Janvier
TAVVN5	-12.515596	49.180805	Rainforest	Multitrap	258	2	Parc National de Montagne d'Ambre	ANTSIRANANA	Rabe Janvier
TUAPDE	-12.517164	49.179873	Rainforest	Multitrap	259	2	Parc National de Montagne d'Ambre	ANTSIRANANA	Rabe Janvier
THI5PX	-12.682717	49.545424	Dry_Forest	Single_trap	256	3	Réserve Spéciale d'Analamerana	ANTSIRANANA	Ismael
TRKQU5	-12.96002	49.120911	Dry_Forest	Single_trap	255	4	Réserve Spéciale d'Ankarana	ANTSIRANANA	Rakotovao J. Chris
TK1MIJ	-13.14696	49.70374	Dry_Forest	Single_trap	253	5	Paysage Harmonieux Protégé de Loky Manambato	ANTSIRANANA	Meo Odon
TG6SK4	-13.40849	48.30587	Rainforest	Single_trap	254	6	Parc National de Lokobe	ANTSIRANANA	Jean Delphin
TRA8W1	-14.43606	49.75736	Rainforest	Multitrap	251	7	Parc National de Marojejy	ANTSIRANANA	Rabe Janvier
TAHDZD	-14.437	49.74282	Rainforest	Multitrap	250	7	Parc National de Marojejy	ANTSIRANANA	Rabe Janvier
TXS3QU	-14.44021	49.77818	Rainforest	Multitrap	252	7	Parc National de Marojejy	ANTSIRANANA	Rabe Janvier
TRJZGH	-14.44448	49.73728	Rainforest	Multitrap	249	7	Parc National de Marojejy	ANTSIRANANA	Rabe Janvier
T9VS8I	-15.67664	49.95653	Rainforest	Multitrap	246	8	Parc National de Masoala	TOAMASINA	Befeno Arthur
TNQVM4	-15.67889	49.95685	Rainforest	Multitrap	247	8	Parc National de Masoala	TOAMASINA	Befeno Arthur
TQKQRH	-15.68117	49.9577	Rainforest	Multitrap	248	8	Parc National de Masoala	TOAMASINA	Befeno Arthur
TR4LDL	-15.97018	45.71465	Dry_Forest	Single_trap	241	9	Paysage Harmonieux du Complexe Zones Humides Mahavavy Kinkony	MAHAJANGA	Miamby Bosisy
TN1QSL	-16.06344	45.26049	Dry_Forest	Single_trap	240	10	Parc National de la Baie de Baly	MAHAJANGA	Filazaha Fidelis
TPQKYN	-16.28466	48.81669	Rainforest	Single_trap	245	11	Parc National de Marotandrano	MAHAJANGA	Zaralahy J. Denis
TRGIDB	-16.31439	49.79369	Rainforest	Single_trap	225	12	Parc National de Mananara-Nord	TOAMASINA	Celestin Arnaud
TUH8A4	-16.32425	46.82299	Dry_Forest	Multitrap	242	13	Parc National d'Ankarafantsika	MAHAJANGA	Rakotoarimanana J. de la Croix 
