sampleID_NGI	sampleID_HISTORICAL	sampleID_FIELD	sampleID_LAB	dataset	lab_sample_type	country	biological_spikes	artificial_spikes	sample_metadata_file	lysate_rack_ID	lysate_well_ID	dna_plate_ID	dna_plate_well_ID	sequencing_batch	sequencing_batch_NGI	notes_lab	sequencing_status	study_accession_ENA	sample_accession_ENA	experiment_accession_ENA	run_accession_ENA
P27361_1672	FH001_Neg_index	NA	FH001_Neg_index	16S_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH001	NA	NA	NA	batch16	P27361	NA	sequencing failed	NA	NA	NA	NA
P27361_1666	FH001_H200095_Blank	NA	H200095_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH001	H6	3000491445	H6	batch16	P27361	NA	sequencing successfull	PRJEB61109	ERS16370002	ERX12279868	ERR12907495
P27361_1664	FH001_H200034_Blank	NA	H200034_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH001	H4	3000491445	H4	batch16	P27361	NA	sequencing successfull	PRJEB61109	ERS16370003	ERX12279866	ERR12907493
P28409_1128	FH008_H200690_Blank	NA	H200690_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH008	H4	3000491440	H4	batch17	P28409	NA	sequencing successfull	PRJEB61109	ERS16370004	ERX12280000	ERR12907627
P28409_1144	FH008_H200012_Blank	NA	H200012_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH008	H6	3000491440	H6	batch17	P28409	NA	sequencing successfull	PRJEB61109	ERS16370005	ERX12280016	ERR12907643
P28409_1320	FH009_H200738_Blank	NA	H200738_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH009	H4	3000491441	H4	batch17	P28409	NA	sequencing successfull	PRJEB61109	ERS16370006	ERX12280190	ERR12907817
P28409_1336	FH009_H200760_Blank	NA	H200760_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH009	H6	3000491441	H6	batch17	P28409	NA	sequencing successfull	PRJEB61109	ERS16370007	ERX12280206	ERR12907833
P28409_1224	FH007_H200585_Blank	NA	H200585_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH007	H4	3000491439	H4	batch17	P28409	NA	sequencing successfull	PRJEB61109	ERS16370008	ERX12280095	ERR12907722
P28409_1032	FH006_H200483_Blank	NA	H200483_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH006	H4	3000491438	H4	batch17	P28409	NA	sequencing successfull	PRJEB61109	ERS16370009	ERX12279905	ERR12907532
P28409_1240	FH007_H200637_Blank	NA	H200637_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH007	H6	3000491439	H6	batch17	P28409	NA	sequencing successfull	PRJEB61109	ERS16370010	ERX12280111	ERR12907738
P28409_1048	FH006_H200524_Blank	NA	H200524_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH006	H6	3000491438	H6	batch17	P28409	NA	sequencing successfull	PRJEB61109	ERS16370011	ERX12279921	ERR12907548
P28410_1128	FH004_H200330_Blank	NA	H200330_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH004	H4	3000491442	H4	batch18	P28410	NA	sequencing successfull	PRJEB61109	ERS16370012	ERX12280380	ERR12908007
P28410_1404	FH005_H200371_Blank	NA	H200371_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH005	H4	3000491437	H4	batch18	P28410	NA	sequencing successfull	PRJEB61109	ERS16370013	ERX12280650	ERR12908277
P28410_1144	FH004_H200013_Blank	NA	H200013_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH004	H6	3000491442	H6	batch18	P28410	NA	sequencing successfull	PRJEB61109	ERS16370014	ERX12280396	ERR12908023
P28410_1032	FH002_H200136_Blank	NA	H200136_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH002	H4	3000491443	H4	batch18	P28410	NA	sequencing successfull	PRJEB61109	ERS16370015	ERX12280285	ERR12907912
P28410_1420	FH005_H200422_Blank	NA	H200422_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH005	H6	3000491437	H6	batch18	P28410	NA	sequencing successfull	PRJEB61109	ERS16370016	ERX12280666	ERR12908293
P28410_1048	FH002_H200177_Blank	NA	H200177_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH002	H6	3000491443	H6	batch18	P28410	NA	sequencing successfull	PRJEB61109	ERS16370018	ERX12280301	ERR12907928
P28410_1308	FH003_H200218_Blank	NA	H200218_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH003	H4	3000491437	H4	batch18	P28410	NA	sequencing successfull	PRJEB61109	ERS16370020	ERX12280555	ERR12908182
P28410_1324	FH003_H200279_Blank	NA	H200279_Blank	16S_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	samples_metadata_malaise_SE.tsv	FH003	H6	3000491437	H6	batch18	P28410	NA	sequencing successfull	PRJEB61109	ERS16370021	ERX12280571	ERR12908198
