sampleID_NGI	sampleID_SEQ	sampleID_FIELD	sampleID_LAB	dataset	lab_sample_type	country	biological_spikes	artificial_spikes	sample_metadata_file	lysate_rack_ID	lysate_well_ID	dna_plate_ID	dna_plate_well_ID	sequencing_batch	sequencing_batch_NGI	notes
P25258_1515	ELA001_H2 p	SLWUQ2	ELA001_H2_p	CO1_Ela_samples_2019_SE	sample	Sweden	TRUE	TRUE	ELA_15_samples_metadata	ELA001	NA	3000491450	NA	batch10	P25258	NA
P25258_1518	ELA001_H4 p	SY34ZS	ELA001_H4_p	CO1_Ela_samples_2019_SE	sample	Sweden	TRUE	TRUE	ELA_15_samples_metadata	ELA001	NA	3000491450	NA	batch10	P25258	NA
P25258_1523	ELA001_H8 p	SCNXZK	ELA001_H8_p	CO1_Ela_samples_2019_SE	sample	Sweden	TRUE	TRUE	ELA_15_samples_metadata	ELA001	NA	3000491450	NA	batch10	P25258	NA
P25258_1496	ELA001_E_blank	NA	ELA001_E_blank	CO1_ethanol_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	ELA001	NA	3000491450	B4	batch10	P25258	Ela_15 samples
P25258_1483	ELA001_E3	S5MEZA	ELA001_E3	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A9	batch10	P25258	Ela_15 samples
P25258_1481	ELA001_E1	S8APX1	ELA001_E1	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A1	batch10	P25258	Ela_15 samples
P25258_1495	ELA001_E16	SACBBR	ELA001_E15	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A7	batch10	P25258	Ela_15 samples
P25258_1493	ELA001_E13	SBWPUY	ELA001_E13	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A5	batch10	P25258	Ela_15 samples
P25258_1494	ELA001_E14	SC1YIM	ELA001_E14	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A6	batch10	P25258	Ela_15 samples
P25258_1488	ELA001_E8	SCNXZK	ELA001_E8	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	B2	batch10	P25258	Ela_15 samples
P25258_1492	ELA001_E12	SG3CB2	ELA001_E12	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A4	batch10	P25258	Ela_15 samples
P25258_1487	ELA001_E7	SIRUBH	ELA001_E7	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	B1	batch10	P25258	Ela_15 samples
P25258_1491	ELA001_E11	SIUQ3G	ELA001_E11	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A3	batch10	P25258	Ela_15 samples
P25258_1486	ELA001_E6	SKYQAL	ELA001_E6	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A12	batch10	P25258	Ela_15 samples
P25258_1482	ELA001_E2	SLWUQ2	ELA001_E2	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A8	batch10	P25258	Ela_15 samples
P25258_1490	ELA001_E10	SQVR9H	ELA001_E10	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A2	batch10	P25258	Ela_15 samples
P25258_1485	ELA001_E5	STHFJP	ELA001_E5	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A11	batch10	P25258	Ela_15 samples
P25258_1489	ELA001_E9	SUXEKB	ELA001_E9	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	B3	batch10	P25258	Ela_15 samples
P25258_1484	ELA001_E4	SY34ZS	ELA001_E4	CO1_ethanol_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_malaise_SE_2019	ELA001	NA	3000491450	A10	batch10	P25258	Ela_15 samples
P27361_1666	FH001_H200095_Blank	B-050721	H200095_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH001	H6	3000491445	H6	batch16	P27361	Blank_sample.
P27361_1664	FH001_H200034_Blank	B-280621	H200034_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH001	H4	3000491445	H4	batch16	P27361	Blank_sample
P28409_1128	FH008_H200690_Blank	B-011021	H200690_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH008	H4	3000491440	H4	batch17	P28409	Blank_sample
