"sampleID_NGI"	"sampleID_HISTORICAL"	"sampleID_FIELD"	"sampleID_LAB"	"dataset"	"lab_sample_type"	"country"	"biological_spikes"	"artificial_spikes"	"sample_metadata_file"	"lysate_rack_ID"	"lysate_well_ID"	"dna_plate_ID"	"dna_plate_well_ID"	"sequencing_batch"	"sequencing_batch_NGI"	"notes_lab"	"sequencing_status"	"study_accession_ENA"	"sample_accession_ENA"	"experiment_accession_ENA"	"run_accession_ENA"
"P20863_1009"	"L100421"	"SRTFVF"	"L100421"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A2"	"3000491410"	"A2"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365437"	"ERX11425154"	"ERR12041952"
"P20863_1010"	"L100433"	"S4EVHS"	"L100433"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B2"	"3000491410"	"B2"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365438"	"ERX11425155"	"ERR12041953"
"P20863_1011"	"L100445"	"SMWTWA"	"L100445"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C2"	"3000491410"	"C2"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365439"	"ERX11425156"	"ERR12041954"
"P20863_1012"	"L100457"	"SJASRS"	"L100457"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D2"	"3000491410"	"D2"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365440"	"ERX11425157"	"ERR12041955"
"P20863_1013"	"L100469"	"SJDIT3"	"L100469"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E2"	"3000491410"	"E2"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365441"	"ERX11425158"	"ERR12041956"
"P20863_1014"	"L100481"	"SGJ73Z"	"L100481"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F2"	"3000491410"	"F2"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365442"	"ERX11425159"	"ERR12041957"
"P20863_1015"	"L100493"	"SVEQRP"	"L100493"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G2"	"3000491410"	"G2"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365443"	"ERX11425160"	"ERR12041958"
"P20863_1016"	"L100505"	"S51KKK"	"L100505"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H2"	"3000491410"	"H2"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365444"	"ERX11425161"	"ERR12041959"
"P20863_1017"	"L100422"	"SGNIVM"	"L100422"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A3"	"3000491410"	"A3"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365445"	"ERX11425162"	"ERR12041960"
"P20863_1018"	"L100434"	"SQXEGC"	"L100434"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B3"	"3000491410"	"B3"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365446"	"ERX11425163"	"ERR12041961"
"P20863_1019"	"L100446"	"SW7FZS"	"L100446"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C3"	"3000491410"	"C3"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365447"	"ERX11425164"	"ERR12041962"
"P20863_1020"	"L100458"	"SWQ1WX"	"L100458"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D3"	"3000491410"	"D3"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365448"	"ERX11425165"	"ERR12041963"
"P20863_1021"	"L100470"	"SZY1DI"	"L100470"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E3"	"3000491410"	"E3"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365449"	"ERX11425166"	"ERR12041964"
"P20863_1022"	"L100482"	"SVKQAL"	"L100482"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F3"	"3000491410"	"F3"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365450"	"ERX11425167"	"ERR12041965"
"P20863_1023"	"L100494"	"SZ3KGA"	"L100494"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G3"	"3000491410"	"G3"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365451"	"ERX11425168"	"ERR12041966"
"P20863_1024"	"L100506"	"SEG6NC"	"L100506"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H3"	"3000491410"	"H3"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365452"	"ERX11425169"	"ERR12041967"
"P20863_1025"	"L100423"	"SZYGCL"	"L100423"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A4"	"3000491410"	"A4"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365453"	"ERX11425170"	"ERR12041968"
"P20863_1026"	"L100435"	"SIAWQB"	"L100435"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B4"	"3000491410"	"B4"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365454"	"ERX11425171"	"ERR12041969"
"P20863_1027"	"L100447"	"SHSBDX"	"L100447"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C4"	"3000491410"	"C4"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365455"	"ERX11425172"	"ERR12041970"
"P20863_1028"	"L100459"	"SUZJDH"	"L100459"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D4"	"3000491410"	"D4"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365456"	"ERX11425173"	"ERR12041971"
"P20863_1029"	"L100471"	"SP4NQA"	"L100471"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E4"	"3000491410"	"E4"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365457"	"ERX11425174"	"ERR12041972"
"P20863_1030"	"L100483"	"SXPY5U"	"L100483"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F4"	"3000491410"	"F4"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365458"	"ERX11425175"	"ERR12041973"
"P20863_1031"	"L100495"	"S9PISE"	"L100495"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G4"	"3000491410"	"G4"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365459"	"ERX11425176"	"ERR12041974"
