sampleID_NGI	sampleID_HISTORICAL	sampleID_FIELD	sampleID_LAB	dataset	lab_sample_type	country	biological_spikes	artificial_spikes	sample_metadata_file	lysate_rack_ID	lysate_well_ID	dna_plate_ID	dna_plate_well_ID	sequencing_batch	sequencing_batch_NGI	notes
pool2_116_TR	pool2_116_TR	T1KSIA	T1KSIA_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_53_TR	pool1_53_TR	T1N5UR	T1N5UR_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_127_TR	pool2_127_TR	T1QLZR	T1QLZR_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_31_TR	pool1_31_TR	T1TL12	T1TL12_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_143_TR	pool2_143_TR	T1YMRX	T1YMRX_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_168_TR	pool2_168_TR	T2KQJZ	T2KQJZ_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_84_TR	pool1_84_TR	T2NGGK	T2NGGK_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_2r_TR	pool1_2r_TR	T2T1DJ	T2T1DJ_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_58_TR	pool1_58_TR	T2YFPK	T2YFPK_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_61_TR	pool1_61_TR	T2YSPU	T2YSPU_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_63_TR	pool1_63_TR	T3NLMJ	T3NLMJ_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_138_TR	pool2_138_TR	T4EMTM	T4EMTM_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_7r_TR	pool1_7r_TR	T5CELX	T5CELX_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_108_TR	pool2_108_TR	T5FPCF	T5FPCF_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_157_TR	pool2_157_TR	T5KGVY	T5KGVY_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_173_TR	pool2_173_TR	T5R3X9	T5R3X9_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_41_TR	pool1_41_TR	T5XNHX	T5XNHX_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_60_TR	pool1_60_TR	T5ZUGG	T5ZUGG_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_56_TR	pool1_56_TR	T6K6TA	T6K6TA_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_140_TR	pool2_140_TR	T6LS76	T6LS76_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_20r_TR	pool1_20r_TR	T6WPKD	T6WPKD_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_146_TR	pool2_146_TR	T6YFBI	T6YFBI_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_81_TR	pool1_81_TR	T7WIMF	T7WIMF_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool1_90_TR	pool1_90_TR	T7ZDZJ	T7ZDZJ_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
pool2_99_TR	pool2_99_TR	T83QWB	T83QWB_ITS	ITS_soil_2019_SE	sample	Sweden	FALSE	FALSE	samples_metadata_soil_microbiome_SE_2019	NA	NA	NA	NA	NA	PS_294	NA
