sampleID_FIELD	trapID	sample_type	date	time	sample_accession_ENA	sample_status
T8EUCF_L	T8EUCF	litter	10-07-2019	10:25:00_AM	ERS18958923	sample processed and sequenced
TZDKD7_L	TZDKD7	litter	05-07-2019	02:40:00_PM	ERS18959232	sample processed and sequenced
TDUYXP_L	TDUYXP	litter	18-07-2019	02:30:00_PM	ERS18958971	sample processed and sequenced
TFUBVV_L	TFUBVV	litter	24-07-2019	10:15:00_AM	ERS18958999	sample processed and sequenced
TWF14R_L	TWF14R	litter	24-07-2019	09:50:00_AM	ERS18959194	sample processed and sequenced
TE2T4A_L	TE2T4A	litter	24-07-2019	10:40:00_AM	ERS18958973	sample processed and sequenced
T5KGVY_L	T5KGVY	litter	23-07-2019	04:25:00_PM	ERS18958899	sample processed and sequenced
TF3STP_L	TF3STP	litter	04-07-2019	03:00:00_PM	ERS18958983	sample processed and sequenced
TGX4C7_L	TGX4C7	litter	24-07-2019	09:00:00_AM	ERS18959011	sample processed and sequenced
TSVHD1_L	TSVHD1	litter	23-07-2019	11:35:00_AM	ERS18959154	sample processed and sequenced
T4EMTM_L	T4EMTM	litter	20-07-2019	02:50:00_PM	ERS18958893	sample processed and sequenced
TXLZ8M_L	TXLZ8M	litter	21-07-2019	05:00:00_PM	ERS18959214	sample processed and sequenced
T6YFBI_L	T6YFBI	litter	22-07-2019	03:00:00_PM	ERS18958913	sample processed and sequenced
TBGIW1_L	TBGIW1	litter	03-07-2019	04:00:00_PM	ERS18958939	sample processed and sequenced
TBGYQQ_L	TBGYQQ	litter	04-07-2019	10:30:00_AM	ERS18958941	sample processed and sequenced
TBLZ38_L	TBLZ38	litter	18-07-2019	03:55:00_PM	ERS18958943	sample processed and sequenced
TC6XPC_L	TC6XPC	litter	17-07-2019	07:40:00_AM	ERS18958949	sample processed and sequenced
TFECCG_L	TFECCG	litter	23-07-2019	08:08:00_AM	ERS18958985	sample processed and sequenced
THFUHH_L	THFUHH	litter	10-07-2019	10:30:00_AM	ERS18959016	sample processed and sequenced
TJZHPY_L	TJZHPY	litter	20-07-2019	04:25:00_PM	ERS18959054	sample processed and sequenced
TKIAHP_L	TKIAHP	litter	01-07-2019	01:35:00_PM	ERS18959066	sample processed and sequenced
TKSUA6_L	TKSUA6	litter	18-07-2019	05:00:00_PM	ERS18959074	sample processed and sequenced
TLFEGH_L	TLFEGH	litter	02-07-2019	02:15:00_PM	ERS18959082	sample processed and sequenced
TM5LBB_L	TM5LBB	litter	01-07-2019	01:30:00_PM	ERS18959090	sample processed and sequenced
TTAPUR_L	TTAPUR	litter	13-07-2019	03:30:00_PM	ERS18959160	sample processed and sequenced
TWRXFI_L	TWRXFI	litter	29-07-2019	09:20:00_AM	ERS18959204	sample processed and sequenced
TZQFGP_L	TZQFGP	litter	10-07-2019	06:30:00_PM	ERS18959236	sample processed and sequenced
THGYUE_L	THGYUE	litter	30-06-2019	11:00:00_AM	ERS18959024	sample processed and sequenced
TRICKN_L	TRICKN	litter	15-07-2019	09:55:00_AM	ERS18959130	sample processed and sequenced
T1TL12_L	T1TL12	litter	02-07-2019	01:20:00_PM	ERS18958877	sample processed and sequenced
T2KQJZ_L	T2KQJZ	litter	23-07-2019	02:45:00_PM	ERS18958881	sample processed and sequenced
T5FPCF_L	T5FPCF	litter	16-07-2019	02:05:00_PM	ERS18958897	sample processed and sequenced
T7ZDZJ_L	T7ZDZJ	litter	11-07-2019	02:45:00_PM	ERS18958917	sample processed and sequenced
TAI56Z_L	TAI56Z	litter	03-07-2019	11:30:00_AM	ERS18958931	sample processed and sequenced
TFGCME_L	TFGCME	litter	24-07-2019	11:30:00_AM	ERS18958989	sample processed and sequenced
TFIA7R_L	TFIA7R	litter	27-07-2019	10:20:00_AM	ERS18958993	sample processed and sequenced
TKGCFR_L	TKGCFR	litter	02-07-2019	03:30:00_PM	ERS18959064	sample processed and sequenced
TMMIG9_L	TMMIG9	litter	21-07-2019	08:27:00_AM	ERS18959096	sample processed and sequenced
TS2P4Q_L	TS2P4Q	litter	16-07-2019	02:30:00_PM	ERS18959136	sample processed and sequenced
TSEQHD_L	TSEQHD	litter	04-07-2019	12:30:00_PM	ERS18959142	sample processed and sequenced
TUQQIV_L	TUQQIV	litter	15-07-2019	06:20:00_PM	ERS18959180	sample processed and sequenced
TWJED2_L	TWJED2	litter	19-07-2019	10:20:00_AM	ERS18959198	sample processed and sequenced
T2YSPU_L	T2YSPU	litter	04-07-2019	02:20:00_PM	ERS18958889	sample processed and sequenced
T9UPWP_L	T9UPWP	litter	17-07-2019	10:00:00_AM	ERS18958929	sample processed and sequenced
TAPGMG_L	TAPGMG	litter	12-07-2019	08:45:00_AM	ERS18958935	sample processed and sequenced
TARUGI_L	TARUGI	litter	16-07-2019	02:20:00_PM	ERS18958937	sample processed and sequenced
TBPT1B_L	TBPT1B	litter	20-07-2019	11:00:00_AM	ERS18958945	sample processed and sequenced
TEHHBJ_L	TEHHBJ	litter	08-07-2019	NA	ERS18958975	sample processed and sequenced
THGNFM_L	THGNFM	litter	22-07-2019	01:50:00_PM	ERS18959020	sample processed and sequenced
TJNMNV_L	TJNMNV	litter	17-07-2019	10:30:00_AM	ERS18959042	sample processed and sequenced
TLCIG9_L	TLCIG9	litter	02-07-2019	05:45:00_PM	ERS18959078	sample processed and sequenced
TUQ4KK_L	TUQ4KK	litter	24-07-2019	04:35:00_PM	ERS18959178	sample processed and sequenced
TVNBV7_L	TVNBV7	litter	03-07-2019	10:00:00_AM	ERS18959190	sample processed and sequenced
TYBVXB_L	TYBVXB	litter	26-06-2019	02:20:00_PM	ERS18959218	sample processed and sequenced
TZ6Q7T_L	TZ6Q7T	litter	21-07-2019	12:10:00_PM	ERS18959230	sample processed and sequenced
T2NGGK_L	T2NGGK	litter	17-07-2019	09:15:00_AM	ERS18958883	sample processed and sequenced
T2T1DJ_L	T2T1DJ	litter	02-07-2019	12:30:00_PM	ERS18958885	sample processed and sequenced
T2YFPK_L	T2YFPK	litter	09-07-2019	09:07:00_AM	ERS18958887	sample processed and sequenced
T3NLMJ_L	T3NLMJ	litter	09-07-2019	01:20:00_PM	ERS18958891	sample processed and sequenced
T5XNHX_L	T5XNHX	litter	01-07-2019	05:40:00_PM	ERS18958903	sample processed and sequenced
T83QWB_L	T83QWB	litter	11-07-2019	12:20:00_PM	ERS18958919	sample processed and sequenced
TCD3P4_L	TCD3P4	litter	09-07-2019	04:20:00_PM	ERS18958953	sample processed and sequenced
TCSZX1_L	TCSZX1	litter	02-07-2019	10:15:00_AM	ERS18958959	sample processed and sequenced
TD5LHA_L	TD5LHA	litter	02-07-2019	04:30:00_PM	ERS18958961	sample processed and sequenced
TDCIPI_L	TDCIPI	litter	16-07-2019	11:50:00_AM	ERS18958963	sample processed and sequenced
TEYZYN_L	TEYZYN	litter	08-07-2019	02:30:00_PM	ERS18958981	sample processed and sequenced
TFHNHU_L	TFHNHU	litter	15-07-2019	02:45:00_PM	ERS18958991	sample processed and sequenced
TG4NHB_L	TG4NHB	litter	03-07-2019	11:30:00_AM	NA	sample processed but sequencing failed
TGTDBY_L	TGTDBY	litter	12-07-2019	02:20:00_PM	ERS18959009	sample processed and sequenced
TGXFSR_L	TGXFSR	litter	18-07-2019	09:30:00_AM	ERS18959013	sample processed and sequenced
THGUAX_L	THGUAX	litter	23-07-2019	01:55:00_PM	ERS18959022	sample processed and sequenced
THKAWB_L	THKAWB	litter	21-07-2019	11:25:00_AM	ERS18959026	sample processed and sequenced
TIUVZ1_L	TIUVZ1	litter	10-07-2019	04:50:00_PM	ERS18959038	sample processed and sequenced
TJS8IY_L	TJS8IY	litter	01-07-2019	10:30:00_AM	ERS18959044	sample processed and sequenced
TJXPPV_L	TJXPPV	litter	02-07-2019	07:10:00_PM	ERS18959048	sample processed and sequenced
TJXUUR_L	TJXUUR	litter	16-07-2019	12:50:00_PM	ERS18959050	sample processed and sequenced
TK3EAJ_L	TK3EAJ	litter	30-06-2019	05:15:00_PM	ERS18959056	sample processed and sequenced
TKMUNP_L	TKMUNP	litter	25-07-2019	03:50:00_PM	ERS18959070	sample processed and sequenced
TLG2QC_L	TLG2QC	litter	10-07-2019	01:05:00_PM	ERS18959084	sample processed and sequenced
TM4GA9_L	TM4GA9	litter	23-07-2019	09:15:00_AM	ERS18959088	sample processed and sequenced
TND7ZQ_L	TND7ZQ	litter	05-07-2019	10:30:00_AM	ERS18959106	sample processed and sequenced
TPXB6L_L	TPXB6L	litter	12-07-2019	09:40:00_AM	ERS18959118	sample processed and sequenced
TR24WG_L	TR24WG	litter	18-07-2019	09:30:00_AM	ERS18959122	sample processed and sequenced
TRB71K_L	TRB71K	litter	15-07-2019	10:20:00_AM	ERS18959126	sample processed and sequenced
TSFYKU_L	TSFYKU	litter	05-07-2019	03:45:00_PM	ERS18959146	sample processed and sequenced
TTNYZZ_L	TTNYZZ	litter	11-07-2019	01:37:00_PM	ERS18959164	sample processed and sequenced
TUHLET_L	TUHLET	litter	16-07-2019	10:15:00_AM	ERS18959174	sample processed and sequenced
TV5KPB_L	TV5KPB	litter	08-07-2019	08:30:00_AM	ERS18959184	sample processed and sequenced
TWCPQR_L	TWCPQR	litter	26-06-2019	12:20:00_PM	ERS18959192	sample processed and sequenced
TWLJ2P_L	TWLJ2P	litter	26-06-2019	02:40:00_PM	ERS18959200	sample processed and sequenced
TWVCXF_L	TWVCXF	litter	15-07-2019	09:45:00_AM	ERS18959208	sample processed and sequenced
