sampleID_FIELD	trapID	biomass_grams	placing_user	placing_time	placing_date	collecting_user	collecting_time	collecting_date	duration_min	trap_condition_collection	sample_ethanol_conc	processing_group	sample_accession_ENA	sample_status
SRTFVF	T2KQJZ	20.399	Baatel_Enekvist	8:56:19_AM	10/8/2019	Baatel_Enekvist	9:31:44_AM	17/8/2019	10115	good	91.4	Lysis_first	ERS16365437	sample processed and sequenced
S4EVHS	TWCPQR	11.366	Amanda_Brising	8:23:03_AM	24/8/2019	Amanda_Brising	10:25:38_AM	31/8/2019	10203	good	92.9	Lysis_first	ERS16365438	sample processed and sequenced
SMWTWA	T2KQJZ	3.331	Baatel_Enekvist	9:00:24_AM	31/8/2019	Baatel_Enekvist	8:49:01_AM	7/9/2019	10069	good	93.7	Lysis_first	ERS16365439	sample processed and sequenced
SJASRS	TZWKHK	5.217	Thomas_Kraft	9:07:02_AM	24/8/2019	Thomas_Kraft	9:15:35_AM	31/8/2019	10089	good	93.7	Lysis_first	ERS16365440	sample processed and sequenced
SJDIT3	TMXZCE	3.239	Carina_Frogner	8:25:15_AM	26/10/2019	Carina_Frogner	2:23:40_PM	23/11/2019	40678	good	92.3	Lysis_first	ERS16365441	sample processed and sequenced
SGJ73Z	TNGTPF	1.908	Jan_Nilsson	1:38:18_PM	29/9/2019	Jan_Nilsson	12:43:47_PM	27/10/2019	40265	good	93.2	Lysis_first	ERS16365442	sample processed and sequenced
SVEQRP	TFQDEE	0.367	Anders_Thalen	9:33:45_AM	25/10/2019	Anders_Thalen	10:26:48_AM	23/11/2019	41813	good	94.3	Lysis_first	ERS16365443	sample processed and sequenced
S51KKK	TMXZCE	6.977	Carina_Frogner	1:03:18_PM	15/6/2019	Carina_Frogner	12:06:40_PM	22/6/2019	10023	good	93.6	Lysis_first	ERS16365444	sample processed and sequenced
SGNIVM	TPFJTD	15.711	Amanda_Brising	9:02:35_AM	24/8/2019	Amanda_Brising	11:00:00_AM	31/8/2019	10197	good	92.7	Lysis_first	ERS16365445	sample processed and sequenced
SQXEGC	TJZEUI	7.772	Baatel_Enekvist	8:57:28_AM	24/8/2019	Baatel_Enekvist	9:22:31_AM	31/8/2019	10105	good	94	Lysis_first	ERS16365446	sample processed and sequenced
SW7FZS	TEYZYN	7.263	Mats_Hannevad	7:51:36_AM	8/6/2019	Mats_Hannevad	11:31:29_AM	15/6/2019	10300	good	93.8	Lysis_first	ERS16365447	sample processed and sequenced
SWQ1WX	TRXMCY	5.325	Jan_Nilsson	3:55:30_PM	9/8/2019	Jan_Nilsson	5:17:07_PM	16/8/2019	10162	good	94.1	Lysis_first	ERS16365448	sample processed and sequenced
SZY1DI	TIRXWF	3.724	Jan_Nilsson	11:55:37_AM	27/10/2019	Jan_Nilsson	12:15:13_PM	30/11/2019	48980	acceptable	93.3	Lysis_first	ERS16365449	sample processed and sequenced
SVKQAL	TIRXWF	1.083	Richard_Olofsson	4:10:33_PM	25/8/2019	Jan_Nilsson	4:45:51_PM	30/8/2019	7235	good	94.8	Lysis_first	ERS16365450	sample processed and sequenced
SZ3KGA	THKAWB	1.335	Anders_Thalen	8:32:41_AM	25/10/2019	Anders_Thalen	9:47:02_AM	23/11/2019	41834	good	94.1	Lysis_first	ERS16365451	sample processed and sequenced
SEG6NC	T8IKAG	6.526	Martin_Nehmann	12:15:56_PM	3/8/2019	Martin_Nehmann	1:03:20_PM	10/8/2019	10127	good	93.8	Lysis_first	ERS16365452	sample processed and sequenced
SZYGCL	TNLTYQ	8.41	Ulrika_Ljung	9:13:49_AM	7/7/2019	Ulrika_Ljung	10:45:07_AM	12/7/2019	7291	good	93.8	Lysis_first	ERS16365453	sample processed and sequenced
SIAWQB	TEYZYN	9.668	Mats_Hannevad	9:55:38_AM	29/6/2019	Mats_Hannevad	9:00:55_AM	6/7/2019	10025	good	93.7	Lysis_first	ERS16365454	sample processed and sequenced
SHSBDX	TEYZYN	3.287	Mats_Hannevad	10:49:00_PM	26/10/2019	Mats_Hannevad	12:23:07_PM	23/11/2019	39694	acceptable	93.6	Lysis_first	ERS16365455	sample processed and sequenced
SUZJDH	TRXMCY	7.255	Richard_Olofsson	4:42:34_PM	25/8/2019	Jan_Nilsson	3:58:30_PM	30/8/2019	7156	good	94.1	Lysis_first	ERS16365456	sample processed and sequenced
SP4NQA	TWJED2	4.346	Ola_Ejdren	9:41:01_AM	7/9/2019	Thomas_Kraft	9:33:00_AM	15/9/2019	11512	good	93.9	Lysis_first	ERS16365457	sample processed and sequenced
SXPY5U	TNGTPF	0.447	Richard_Olofsson	4:25:15_PM	25/8/2019	Jan_Nilsson	5:02:35_PM	30/8/2019	7237	good	94.4	Lysis_first	ERS16365458	sample processed and sequenced
S9PISE	TFQDEE	1.778	Anders_Thalen	11:20:12_AM	28/9/2019	Anders_Thalen	9:32:50_AM	25/10/2019	38773	good	93.8	Lysis_first	ERS16365459	sample processed and sequenced
SXJJBV	THFUHH	3.769	Anders_Borgehed	10:47:33_AM	26/10/2019	Anders_Borgehed	12:00:00_PM	24/11/2019	41832	NA	93	Lysis_first	ERS16365460	sample processed and sequenced
SYHDV6	TFFDRE	3.998	Thomas_Kraft	8:50:43_AM	22/11/2019	Thomas_Kraft	9:34:39_AM	21/12/2019	41804	good	92.5	Lysis_first	ERS16365461	sample processed and sequenced
SBEQJ5	TPFJTD	5.688	Amanda_Brising	3:28:48_PM	28/9/2019	Amanda_Brising	9:27:42_AM	26/10/2019	39959	good	92.7	Lysis_first	ERS16365462	sample processed and sequenced
SSMSBR	TYBVXB	1.768	Amanda_Brising	11:10:14_AM	31/8/2019	Amanda_Brising	10:09:35_AM	7/9/2019	10019	good	94.1	Lysis_first	ERS16365463	sample processed and sequenced
S59DY5	TV6Z5Y	7.683	Richard_Olofsson	9:26:15_AM	16/6/2019	Jan_Nilsson	9:16:59_AM	23/6/2019	10071	good	93.8	Lysis_first	ERS16365464	sample processed and sequenced
