sampleID_FIELD	trapID	sample_type	date	time	soil_humidity_percentage_v1	soil_humidity_percentage_v2	soil_humidity_percentage_v3	soil_humidity_percentage_v4	soil_humidity_percentage_v5	soilchemistryID	raining	sample_accession_ENA	sample_status
T1KSIA	T1KSIA	soil	16-07-2019	9:45:00_AM	11.6	7	25.6	41	31	17VL	FALSE	not submitted yet	sample processed and sequenced
T1N5UR	T1N5UR	soil	04-07-2019	10:15:00_AM	29.8	26.6	21.3	3.6	33.8	08EL	TRUE	not submitted yet	sample processed and sequenced
T1QLZR	T1QLZR	soil	17-07-2019	12:30:00_PM	15.6	19	12.5	25.8	10.2	25AF	FALSE	not submitted yet	sample processed and sequenced
T1TL12	T1TL12	soil	02-07-2019	1:20:00_PM	10.8	5.2	15.2	14.1	13	05JH	FALSE	not submitted yet	sample processed and sequenced
T1YMRX	T1YMRX	soil	20-07-2019	12:30:00_PM	22.6	49.6	28.5	28.1	19.9	24ER	FALSE	not submitted yet	sample processed and sequenced
T2KQJZ	T2KQJZ	soil	23-07-2019	2:45:00_PM	25.6	21	20	18.2	14	35JH	FALSE	not submitted yet	sample processed and sequenced
T2NGGK	T2NGGK	soil	17-07-2019	9:15:00_AM	NA	NA	82.2	NA	NA	23ER	FALSE	not submitted yet	sample processed and sequenced
T2T1DJ	T2T1DJ	soil	02-07-2019	12:30:00_PM	29.6	3.6	9.1	10.5	21.8	06VL	FALSE	not submitted yet	sample processed and sequenced
T2YFPK	T2YFPK	soil	09-07-2019	9:07:00_AM	13.9	13.2	17.5	16.2	22.2	12AF	TRUE	not submitted yet	sample processed and sequenced
T2YSPU	T2YSPU	soil	04-07-2019	2:20:00_PM	9.7	27.3	15.8	11.6	8.8	11ER	FALSE	not submitted yet	sample processed and sequenced
T3NLMJ	T3NLMJ	soil	09-07-2019	1:20:00_PM	61.3	23	11.6	37.4	52.5	13AF	FALSE	not submitted yet	sample processed and sequenced
T4EMTM	T4EMTM	soil	20-07-2019	2:50:00_PM	2.6	7.8	6.8	16.3	4.6	30EL	FALSE	not submitted yet	sample processed and sequenced
T5CELX	T5CELX	soil	03-07-2019	1:05:00_PM	36.6	22.7	35.5	30.9	63.6	08ER	FALSE	not submitted yet	sample processed and sequenced
T5FPCF	T5FPCF	soil	16-07-2019	2:05:00_PM	35.8	35.5	27.3	1.6	27.8	23AF	FALSE	not submitted yet	sample processed and sequenced
T5KGVY	T5KGVY	soil	23-07-2019	4:25:00_PM	14.4	9.6	13.3	18.6	16.8	35EL	FALSE	not submitted yet	sample processed and sequenced
T5R3X9	T5R3X9	soil	27-07-2019	10:40:00_AM	13	4	13.8	15.6	75.2	32VL	FALSE	not submitted yet	sample processed and sequenced
T5XNHX	T5XNHX	soil	01-07-2019	5:40:00_PM	20.6	22.2	33.8	19	16.6	05ER	FALSE	not submitted yet	sample processed and sequenced
T5ZUGG	T5ZUGG	soil	08-07-2019	9:50:00_AM	16.2	10.8	19.8	16	16.5	12EL	FALSE	not submitted yet	sample processed and sequenced
T6K6TA	T6K6TA	soil	05-07-2019	2:00:00_PM	8.3	18.8	6.6	15.8	1.9	11VL	TRUE	not submitted yet	sample processed and sequenced
T6LS76	T6LS76	soil	22-07-2019	5:00:00_PM	17.4	24.4	25.2	12.6	16.1	31EL	FALSE	not submitted yet	sample processed and sequenced
T6WPKD	T6WPKD	soil	02-07-2019	4:30:00_PM	23.6	15.4	9.2	29.4	12.4	07VL	FALSE	not submitted yet	sample processed and sequenced
T6YFBI	T6YFBI	soil	22-07-2019	3:00:00_PM	43.5	32.6	25.8	NA	NA	NA	FALSE	not submitted yet	sample processed and sequenced
T7WIMF	T7WIMF	soil	17-07-2019	1:00:00_PM	21	84.1	20.6	33.6	67.2	26EL	FALSE	not submitted yet	sample processed and sequenced
T7ZDZJ	T7ZDZJ	soil	11-07-2019	2:45:00_PM	4	6.6	4.4	1.4	3.2	18JH	FALSE	not submitted yet	sample processed and sequenced
T83QWB	T83QWB	soil	11-07-2019	12:20:00_PM	14.8	18.4	8.4	14.2	7.8	14VL	FALSE	not submitted yet	sample processed and sequenced
T8B7KU	T8B7KU	soil	26-07-2019	11:20:00_AM	17.6	14	11	12.2	8	38EJ	FALSE	not submitted yet	sample processed and sequenced
T8EUCF	T8EUCF	soil	10-07-2019	10:25:00_AM	6.8	18.6	13.4	8.6	15.2	16EL	FALSE	not submitted yet	sample processed and sequenced
T8IKAG	T8IKAG	soil	09-07-2019	4:00:00_PM	65	58.3	38	28.2	12.8	NA	FALSE	not submitted yet	sample processed and sequenced
T9DY9N	T9DY9N	soil	08-07-2019	12:25:00_PM	3.8	2.4	56.6	36.4	16.1	10AF	FALSE	not submitted yet	sample processed and sequenced
T9UPWP	T9UPWP	soil	17-07-2019	10:00:00_AM	15.6	11.6	13.8	11	8	19VL	FALSE	not submitted yet	sample processed and sequenced
TAI56Z	TAI56Z	soil	03-07-2019	11:30:00_AM	3.2	0.5	1.8	2.7	0.4	08JH	FALSE	not submitted yet	sample processed and sequenced
TAKAXU	TAKAXU	soil	19-07-2019	3:40:00_PM	26.3	27.4	11.8	33.8	24.8	22VL	FALSE	not submitted yet	sample processed and sequenced
TAPGMG	TAPGMG	soil	12-07-2019	8:45:00_AM	7.6	6	4.8	11.8	12	18ER	FALSE	not submitted yet	sample processed and sequenced
TARUGI	TARUGI	soil	16-07-2019	2:20:00_PM	38.7	26	36.4	29	20.3	22ER	TRUE	not submitted yet	sample processed and sequenced
TBGIW1	TBGIW1	soil	03-07-2019	4:00:00_PM	77	77.4	61.4	NA	59.8	09ER	FALSE	not submitted yet	sample processed and sequenced
TBGYQQ	TBGYQQ	soil	04-07-2019	10:30:00_AM	16.4	5.7	7.6	3	19.8	06AF	TRUE	not submitted yet	sample processed and sequenced
TBLZ38	TBLZ38	soil	18-07-2019	3:55:00_PM	12.8	36.4	6.6	NA	15	27AF	FALSE	not submitted yet	sample processed and sequenced
TBPT1B	TBPT1B	soil	20-07-2019	11:00:00_AM	3.5	0.8	1.9	1.8	5.6	33JH	FALSE	not submitted yet	sample processed and sequenced
TBSQHF	TBSQHF	soil	22-07-2019	12:39:00_PM	29.4	28	19.4	17.4	15	33AF	TRUE	not submitted yet	sample processed and sequenced
TC6XPC	TC6XPC	soil	17-07-2019	7:40:00_AM	14.6	19.1	32	31.6	11.2	24AF	FALSE	not submitted yet	sample processed and sequenced
TC8QBB	TC8QBB	soil	23-07-2019	1:00:00_PM	NA	NA	NA	NA	NA	NA	FALSE	not submitted yet	sample processed and sequenced
TCD3P4	TCD3P4	soil	09-07-2019	4:20:00_PM	18.2	5.6	15.3	10.1	18.6	15EL	FALSE	not submitted yet	sample processed and sequenced
TCIHNW	TCIHNW	soil	26-07-2019	4:30:00_PM	11.2	11.6	7.1	4.2	13.9	31VL	FALSE	not submitted yet	sample processed and sequenced
TCMKFJ	TCMKFJ	soil	10-07-2019	1:55:00_PM	19.4	29.4	18.3	22.2	34.8	15ER	FALSE	not submitted yet	sample processed and sequenced
TCSZX1	TCSZX1	soil	02-07-2019	10:15:00_AM	10.2	7.4	25.5	19	10	05VL	FALSE	not submitted yet	sample processed and sequenced
TD5LHA	TD5LHA	soil	02-07-2019	4:30:00_PM	41.8	20.4	21.5	17.2	37.6	04EL	TRUE	not submitted yet	sample processed and sequenced
TDCIPI	TDCIPI	soil	16-07-2019	11:50:00_AM	24.7	34.4	25.8	33.2	22.8	22AF	TRUE	not submitted yet	sample processed and sequenced
TDGFXV	TDGFXV	soil	10-07-2019	3:35:00_PM	8.8	6	9	9.8	15.8	16JH	FALSE	not submitted yet	sample processed and sequenced
TDGVY8	TDGVY8	soil	11-07-2019	3:00:00_PM	NA	NA	NA	NA	NA	17ER	FALSE	not submitted yet	sample processed and sequenced
TDPRNI	TDPRNI	soil	08-07-2019	1:45:00_PM	8.6	17.3	7.6	20.3	15.4	13ER	FALSE	not submitted yet	sample processed and sequenced
TDUYXP	TDUYXP	soil	18-07-2019	2:30:00_PM	9.6	10.6	12.8	5.6	10	28EL	FALSE	not submitted yet	sample processed and sequenced
TE2T4A	TE2T4A	soil	24-07-2019	10:40:00_AM	27	51.6	21	53.6	40.2	28VL	FALSE	not submitted yet	sample processed and sequenced
TEHHBJ	TEHHBJ	soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	not submitted yet	sample processed and sequenced
TEPZPF	TEPZPF	soil	26-07-2019	1:05:00_PM	83.6	62.7	58.5	NA	51.4	30VL	FALSE	not submitted yet	sample processed and sequenced
TEVVLD	TEVVLD	soil	04-07-2019	10:00:00_AM	0.9	0.8	0.4	0.6	0.2	11JH	FALSE	not submitted yet	sample processed and sequenced
TEYZYN	TEYZYN	soil	08-07-2019	2:30:00_PM	22.8	8.4	14.9	10.9	22	13EL	FALSE	not submitted yet	sample processed and sequenced
TF3STP	TF3STP	soil	04-07-2019	3:00:00_PM	2.9	5.4	1.8	5.1	4.8	13JH	TRUE	not submitted yet	sample processed and sequenced
TFECCG	TFECCG	soil	23-07-2019	8:08:00_AM	61.8	NA	NA	55.3	72.4	NA	FALSE	not submitted yet	sample processed and sequenced
TFFDRE	TFFDRE	soil	19-07-2019	1:00:00_PM	3.6	7.1	11.6	6.6	4.4	30JH	FALSE	not submitted yet	sample processed and sequenced
TFGCME	TFGCME	soil	24-07-2019	11:30:00_AM	21.4	11.2	11	14.9	8.5	39JH	FALSE	not submitted yet	sample processed and sequenced
TFHNHU	TFHNHU	soil	15-07-2019	2:45:00_PM	33.6	35	34.1	10.3	45.2	24EL	TRUE	not submitted yet	sample processed and sequenced
TFIA7R	TFIA7R	soil	27-07-2019	10:20:00_AM	30	27.2	23	16	15.6	39EL	FALSE	not submitted yet	sample processed and sequenced
TFLSK1	TFLSK1	soil	04-07-2019	2:05:00_PM	14.4	6.2	5.1	17.2	20.8	09EL	FALSE	not submitted yet	sample processed and sequenced
TFQDEE	TFQDEE	soil	22-07-2019	2:53:00_PM	0.4	5.8	7.4	20.8	27.6	34AF	FALSE	not submitted yet	sample processed and sequenced
TFUBVV	TFUBVV	soil	24-07-2019	10:15:00_AM	26.2	25.3	37.7	30.9	27	26ER	FALSE	not submitted yet	sample processed and sequenced
TG4NHB	TG4NHB	soil	03-07-2019	11:30:00_AM	NA	27.6	16.2	2.4	3.5	09VL	FALSE	not submitted yet	sample processed and sequenced
TG6JK1	TG6JK1	soil	12-07-2019	8:41:00_AM	64.4	66.7	60.1	26.2	20	19AF	TRUE	not submitted yet	sample processed and sequenced
TG8NKF	TG8NKF	soil	11-07-2019	10:50:00_AM	NA	NA	NA	NA	NA	16ER	FALSE	not submitted yet	sample processed and sequenced
TGCHAV	TGCHAV	soil	19-07-2019	3:30:00_PM	3.4	5.3	7.8	9.9	2.6	31JH	FALSE	not submitted yet	sample processed and sequenced
TGTDBY	TGTDBY	soil	12-07-2019	2:20:00_PM	4.9	9.6	8.3	10.2	22.3	22EL	TRUE	not submitted yet	sample processed and sequenced
TGX4C7	TGX4C7	soil	24-07-2019	9:00:00_AM	17.2	17.1	13.8	23.9	11.2	38JH	FALSE	not submitted yet	sample processed and sequenced
TGXFSR	TGXFSR	soil	18-07-2019	9:30:00_AM	25.4	9.4	30.3	11.4	19.6	27EL	FALSE	not submitted yet	sample processed and sequenced
THBEZ5	THBEZ5	soil	03-07-2019	4:15:00_PM	1.6	2.8	5.6	3.7	5.1	10JH	FALSE	not submitted yet	sample processed and sequenced
THFUHH	THFUHH	soil	10-07-2019	10:30:00_AM	9.2	10.6	13.3	11.2	3.6	15JH	FALSE	not submitted yet	sample processed and sequenced
THG7AZ	THG7AZ	soil	15-07-2019	12:45:00_PM	9.5	17.8	14.1	11.4	18.3	23ER	FALSE	not submitted yet	sample processed and sequenced
THGNFM	THGNFM	soil	22-07-2019	1:50:00_PM	77.9	4.5	39.5	NA	40.4	25VL	FALSE	not submitted yet	sample processed and sequenced
THGUAX	THGUAX	soil	23-07-2019	1:55:00_PM	9.3	11.4	10.2	11.6	10.7	34EL	FALSE	not submitted yet	sample processed and sequenced
THGYUE	THGYUE	soil	30-06-2019	11:00:00_AM	6.8	10.8	20.6	25.6	12.2	03VL	TRUE	not submitted yet	sample processed and sequenced
THKAWB	THKAWB	soil	21-07-2019	11:25:00_AM	3.6	13.8	18.4	6.4	21.4	30AF	FALSE	not submitted yet	sample processed and sequenced
TI93DT	TI93DT	soil	19-07-2019	2:00:00_PM	26.8	27.7	34.3	24.8	55.8	21VL	FALSE	not submitted yet	sample processed and sequenced
TIAIK1	TIAIK1	soil	17-07-2019	10:30:00_AM	34.8	33.8	27	10.6	27.9	25JH	FALSE	not submitted yet	sample processed and sequenced
TIJXRJ	TIJXRJ	soil	19-07-2019	9:50:00_AM	14.2	25.3	6	7	21	29EL	FALSE	not submitted yet	sample processed and sequenced
TIRXWF	TIRXWF	soil	16-07-2019	3:00:00_PM	59.6	50.2	48.1	20.2	23.5	24JH	TRUE	not submitted yet	sample processed and sequenced
TIS5BD	TIS5BD	soil	03-07-2019	10:50:00_AM	21	13	9.6	5.6	30	05AF	FALSE	not submitted yet	sample processed and sequenced
TIUVZ1	TIUVZ1	soil	10-07-2019	4:50:00_PM	38.4	30.6	69.2	55.4	82	17EL	FALSE	not submitted yet	sample processed and sequenced
TJBXIG	TJBXIG	soil	10-07-2019	2:30:00_PM	68.2	83.2	64.6	34	80.3	13VL	FALSE	not submitted yet	sample processed and sequenced
TJNMNV	TJNMNV	soil	17-07-2019	10:30:00_AM	NA	NA	NA	NA	NA	NA	FALSE	not submitted yet	sample processed and sequenced
TJS8IY	TJS8IY	soil	01-07-2019	10:30:00_AM	25	12.3	16.3	3.8	7.6	02EL	TRUE	not submitted yet	sample processed and sequenced
TJW6L7	TJW6L7	soil	15-07-2019	12:20:00_PM	22.9	27.7	34.6	32	24.8	16VL	TRUE	not submitted yet	sample processed and sequenced
TJXPPV	TJXPPV	soil	02-07-2019	7:10:00_PM	26	43	18.8	36.2	24.1	5EL	TRUE	not submitted yet	sample processed and sequenced
TJXUUR	TJXUUR	soil	16-07-2019	12:50:00_PM	26	26.8	16.5	17.9	14.4	18VL	FALSE	not submitted yet	sample processed and sequenced
TJZEUI	TJZEUI	soil	23-07-2019	7:30:00_PM	16.8	22.4	22.6	15.6	24.5	37JH	FALSE	not submitted yet	sample processed and sequenced
TJZHPY	TJZHPY	soil	20-07-2019	4:25:00_PM	76.8	84.8	NA	83	76.3	25ER	FALSE	not submitted yet	sample processed and sequenced
TK3EAJ	TK3EAJ	soil	30-06-2019	5:15:00_PM	NA	NA	NA	NA	NA	03ER	FALSE	not submitted yet	sample processed and sequenced
TK5FQJ	TK5FQJ	soil	02-07-2019	10:55:00_AM	25.2	34.6	26	14.7	11.4	06ER	FALSE	not submitted yet	sample processed and sequenced
TKBVDW	TKBVDW	soil	20-07-2019	12:10:00_PM	NA	NA	NA	NA	NA	NA	FALSE	not submitted yet	sample processed and sequenced
