sampleID_FIELD	trapID	sample_type	date	time	soil_humidity_percentage_v1	soil_humidity_percentage_v2	soil_humidity_percentage_v3	soil_humidity_percentage_v4	soil_humidity_percentage_v5	soilchemistryID	raining
T1KSIA	T1KSIA	soil	16-07-2019	9:45:00_AM	11.6	7	25.6	41	31	17VL	No
T1N5UR	T1N5UR	soil	04-07-2019	10:15:00_AM	29.8	26.6	21.3	3.6	33.8	08EL	Yes
T1QLZR	T1QLZR	soil	17-07-2019	12:30:00_PM	15.6	19	12.5	25.8	10.2	25AF	No
T1TL12	T1TL12	soil	02-07-2019	1:20:00_PM	10.8	5.2	15.2	14.1	13	05JH	No
T1YMRX	T1YMRX	soil	20-07-2019	12:30:00_PM	22.6	49.6	28.5	28.1	19.9	24ER	No
T2KQJZ	T2KQJZ	soil	23-07-2019	2:45:00_PM	25.6	21	20	18.2	14	35JH	No
T2NGGK	T2NGGK	soil	17-07-2019	9:15:00_AM	NA	NA	82.2	NA	NA	23ER	No
T2T1DJ	T2T1DJ	soil	02-07-2019	12:30:00_PM	29.6	3.6	9.1	10.5	21.8	06VL	No
T2YFPK	T2YFPK	soil	09-07-2019	9:07:00_AM	13.9	13.2	17.5	16.2	22.2	12AF	Yes
T2YSPU	T2YSPU	soil	04-07-2019	2:20:00_PM	9.7	27.3	15.8	11.6	8.8	11ER	No
T3NLMJ	T3NLMJ	soil	09-07-2019	1:20:00_PM	61.3	23	11.6	37.4	52.5	13AF	No
T4EMTM	T4EMTM	soil	20-07-2019	2:50:00_PM	2.6	7.8	6.8	16.3	4.6	30EL	No
T5CELX	T5CELX	soil	03-07-2019	1:05:00_PM	36.6	22.7	35.5	30.9	63.6	08ER	No
T5FPCF	T5FPCF	soil	16-07-2019	2:05:00_PM	35.8	35.5	27.3	1.6	27.8	23AF	No
T5KGVY	T5KGVY	soil	23-07-2019	4:25:00_PM	14.4	9.6	13.3	18.6	16.8	35EL	No
T5R3X9	T5R3X9	soil	27-07-2019	10:40:00_AM	13	4	13.8	15.6	75.2	32VL	No
T5XNHX	T5XNHX	soil	01-07-2019	5:40:00_PM	20.6	22.2	33.8	19	16.6	05ER	No
T5ZUGG	T5ZUGG	soil	08-07-2019	9:50:00_AM	16.2	10.8	19.8	16	16.5	12EL	No
T6K6TA	T6K6TA	soil	05-07-2019	2:00:00_PM	8.3	18.8	6.6	15.8	1.9	11VL	Yes
T6LS76	T6LS76	soil	22-07-2019	5:00:00_PM	17.4	24.4	25.2	12.6	16.1	31EL	No
T6WPKD	T6WPKD	soil	02-07-2019	4:30:00_PM	23.6	15.4	9.2	29.4	12.4	07VL	No
T6YFBI	T6YFBI	soil	22-07-2019	3:00:00_PM	43.5	32.6	25.8	NA	NA	NA	No
T7WIMF	T7WIMF	soil	17-07-2019	1:00:00_PM	21	84.1	20.6	33.6	67.2	26EL	No
T7ZDZJ	T7ZDZJ	soil	11-07-2019	2:45:00_PM	4	6.6	4.4	1.4	3.2	18JH	No
T83QWB	T83QWB	soil	11-07-2019	12:20:00_PM	14.8	18.4	8.4	14.2	7.8	14VL	No
T8B7KU	T8B7KU	soil	26-07-2019	11:20:00_AM	17.6	14	11	12.2	8	38EJ	No
T8EUCF	T8EUCF	soil	10-07-2019	10:25:00_AM	6.8	18.6	13.4	8.6	15.2	16EL	No
T8IKAG	T8IKAG	soil	09-07-2019	4:00:00_PM	65	58.3	38	28.2	12.8	NA	No
