siteID	trapID	latitude_WGS84	longitude_WGS84	Locality		trap_habitat	malaise_trap_type	NILS_mhabitat	NILS_square	NILS_plot	trap_orientation_degrees_S	notes
1	TKSUA6	55.56843	13.22241	SE, Skåne, Svedala kommun, Risemölla		forest	Multitrap	forest	4	4	190	NA
1	TFFDRE	55.56674	13.2215	SE, Skåne, Svedala kommun, Risemölla		forest	Multitrap	forest	4	3	190	NA
1	TGCHAV	55.56194	13.23522	SE, Skåne, Svedala kommun, Risemölla		forest	Multitrap	forest	4	10	220	NA
1	TBPT1B	55.56882	13.23092	SE, Skåne, Svedala kommun, Risemölla		grassland	Multitrap	grasslands	4	6	170	NA
1	TZWKHK	55.5664	13.23512	SE, Skåne, Svedala kommun, Risemölla		grassland	Multitrap	grasslands	4	8	130	NA
1	TWJED2	55.5612	13.22333	SE, Skåne, Svedala kommun, Risemölla		grassland	Multitrap	grasslands	4	1	100	NA
2	TMXZCE	56.02517	13.60693	SE, Skåne, Höörs kommun, Slättaröd		cropland	Single_trap	cropland	15	7	150	NA
3	TSEQHD	56.029582	14.3973802	SE, Skåne, Kristianstads kommun, Äspet		cropland	Multitrap	cropland	17	1	180	NA
3	TAI56Z	56.036	14.3955	SE, Skåne, Kristianstads kommun, Äspet		cropland	Multitrap	cropland	17	4	200	NA
3	TEVVLD	56.0311	14.3975	SE, Skåne, Kristianstads kommun, Äspet		cropland	Multitrap	cropland	17	2	180	NA
3	THBEZ5	56.03619	14.40726	SE, Skåne, Kristianstads kommun, Äspet		forest	Multitrap	forest	17	7	180	NA
3	TF3STP	56.02937	14.4034735	SE, Skåne, Kristianstads kommun, Äspet		forest	Multitrap	forest	17	11	210	NA
3	TKCEJN	56.0369	14.4032	SE, Skåne, Kristianstads kommun, Äspet		forest	Multitrap	forest	17	6	180	NA
4	T7RGYH	56.24763	13.98903	SE, Skåne, Östra Göinge kommun, Haganäs		grassland	Single_trap	grasslands	24	12	200	NA
5	TM9NNJ	56.2639	15.6096	SE, Blekinge, Karlskrona kommun, Rödeby		urban	Single_trap	urban	28	9	180	NA
6	T7ZDZJ	56.265	15.2065	SE, Blekinge, Ronneby kommun, Tubbarp		forest	Single_trap	forest	27	8	180	NA
7	TTAPUR	56.4501257	12.7592847	SE, Skåne, Båstads kommun, Stora Liden		cropland	Single_trap	cropland	33	1	150	NA
8	THFUHH	56.48712	14.78502	SE, Småland, Tingsryds kommun, Hultalycke		forest	Single_trap	forest	38	3	120	NA
9	TKGCFR	56.90452	12.73087	SE, Halland, Falkenbergs kommun, Bäckefors		cropland	Multitrap	cropland	56	6	240	NA
9	TMSD51	56.90455	12.72594	SE, Halland, Falkenbergs kommun, Bäckefors		cropland	Multitrap	cropland	56	5	170	NA
9	TSDGQK	56.8976	12.72062	SE, Halland, Falkenbergs kommun, Särestad		cropland	Multitrap	cropland	56	1	190	NA
9	T1TL12	56.90482	12.73262	SE, Halland, Falkenbergs kommun, Bäckefors		forest	Multitrap	forest	56	7	130	NA
9	TWFXXZ	56.90231	12.73335	SE, Halland, Falkenbergs kommun, Bäckefors		forest	Multitrap	forest	56	8	200	NA
