trapID	date	litter_depth_center (mm)	litter_depth_1 (mm)	litter_depth_2 (mm)	litter_depth_3 (mm)	litter_depth_4 (mm)	soil_humidity_center (%)	soil_humidity_1 (%)	soil_humidity_2 (%)	soil_humidity_2 (%) 	soil_humidity_4 (%)	pH	organic_carbon (g/kg)	total_nitrogen (g/kg)	total_phosphorus (g/kg)	potassium_exchange (cmol/kg)	calcium_exchange (cmol/kg)	magnesium_exchange (cmol/kg)																	
TAVVN5	2020-04-16	20,0	25,0	20,0	30,0	35,0	45,6	52,1	51,2	50,4	25,2	6,37	125,61	9,27	2,76	0,20	11,34	6,64																	
TRKQU5	2020-04-23	10,0	15,0	10,0	15,0	10,0	21,6	9,2	19,8	32,7	12,8	7,66	53,97	4,07	1,79	0,47	21,21	2,54																	
TNKTYG	2020-04-15	15,0	10,0	20,0	10,0	30,0	27,0	51,2	64,4	40,0	68,4	5,60	126,29	8,69	2,33	0,23	7,35	4,52																	
THI5PX	2020-04-20	10,0	10,0	6,0	10,0	15,0	15,0	17,6	7,8	14,2	8,8	7,81	62,19	5,79	0,57	0,67	26,48	2,19																	
TW51Z9	2020-04-13	5,0	7,0	10,0	10,0	10,0	0,6	too dry	too dry	too dry	too dry	7,21	14,60	1,05	0,72	0,10	4,05	0,94																	
TUH8A4	2020-03-14	40,0	40,0	35,0	45,0	35,0	7,4	8,3	9,4	9,7	8,4	6,60	15,94	1,38	0,12	0,05	1,52	0,66																	
TKRH5P	2020-02-29	30,0	26,0	39,0	18,0	42,0	20,9	21,8	20,8	33,0	22,0	7,10	91,35	6,88	1,13	0,23	42,73	1,76																	
TQCQRI	2020-03-13	35,0	30,0	40,0	60,0	40,0	12,5	13,5	11,4	16,8	21,8	6,23	28,28	2,43	0,37	0,07	2,00	0,76																	
TR4LDL	2020-02-16	20,0	30,0	60,0	40,0	30,0	7,3	9,2	1,4	8,0	6,6	6,54	51,62	3,71	0,27	0,09	2,14	1,24																	
TFWNLD	2020-03-12	45,0	40,0	35,0	40,0	35,0	15,2	17,4	20,3	16,9	14,4	6,28	19,87	1,78	0,25	0,09	3,83	1,02																	
TPQKYN	2020-02-09	40,0	35,0	30,0	20,0	50,0	16,1	8,6	9,1	20,8	6,0	7,08	81,90	6,13	0,81	0,37	20,19	3,94																	
TUAPDE	2020-04-17	10,0	15,0	10,0	10,0	15,0	32,6	48,4	65,0	52,7	36,6	5,12	111,41	9,00	1,90	0,16	5,77	3,50																	
TN1QSL	2020-02-23	35,0	30,0	15,0	40,0	30,0	19,4	25,8	29,0	25,3	18,4	6,79	25,77	2,01	0,07	0,18	6,04	1,60																	
TK4SS2	2020-02-14	70,0	20,0	50,0	50,0	20,0	20,0	23,7	20,0	22,7	26,7	7,68	98,03	7,07	2,98	0,54	49,95	2,36																	
TP2FUA	2020-01-08	50,0	40,0	20,0	100,0	50,0	8,0	9,8	10,6	14,0	9,3	6,57	47,18	3,80	0,40	0,35	7,77	1,10																	
TGJ4FW	2020-01-09	10,0	60,0	30,0	30,0	50,0	6,3	6,2	8,0	6,6	7,3	6,39	37,87	3,22	0,24	0,15	6,07	1,03																	
TG1QMA	2020-01-09	35,0	37,0	40,0	20,0	30,0	7,2	10,4	8,4	4,8	9,1	6,37	51,50	4,03	0,31	0,16	8,57	1,65																	
THYGHQ	2020-02-08	4,0	50,0	50,0	20,0	50,0	3,6	10,3	8,4	5,0	9,3	6,48	30,27	3,01	0,65	0,19	6,88	1,08																	
T3JY78	2020-03-19	0,0	0,0	5,0	5,0	5,0	0,4	0,3	0,3	too dry	too dry	8,35	15,57	1,06	0,51	0,19	4,32	0,70																	
TIYMCS	2020-03-08	90,0	40,0	45,0	50,0	40,0	too dry	too dry	too dry	too dry	too dry	5,04	50,10	2,35	0,17	0,09	4,03	0,62																	
TE8SYJ	2020-03-18	5,0	3,0	5,0	10,0	1,0	too dry	0,2	0,3	0,1	1,3	7,41	10,66	0,82	0,38	0,40	6,20	1,30																	
TGRG5T	2020-04-01	40,0	70,0	90,0	30,0	45,0	15,4	17,0	12,5	8,6	9,6	5,09	86,90	4,59	0,94	0,20	1,32	1,00																	
TIPGKX	2020-03-23	10,0	20,0	10,0	5,0	15,0	3,0	2,3	1,4	1,6	1,0	8,09	41,59	3,67	0,63	0,28	9,75	1,44																	
T6UDMB	2020-03-11	20,0	40,0	30,0	50,0	45,0	too dry	0,4	too dry	too dry	too dry	7,37	29,20	2,59	0,49	0,10	4,05	0,59																	
TUP4R5	2020-03-17	3,0	0,0	0,0	5,0	10,0	1,2	0,7	0,2	too dry	0,2	8,43	20,85	1,51	1,07	0,22	5,85	0,68																	
T4ZF4M	2020-03-05	10,0	20,0	60,0	100,0	50,0	4,0	6,6	2,2	7,8	4,5	6,45	47,81	3,75	0,49	0,45	9,24	1,40																	
TYBVPP	2020-03-14	20,0	5,0	2,0	50,0	70,0	6,2	4,1	3,6	4,1	7,1	7,83	41,50	2,69	1,24	0,54	22,11	2,62																	
