trapID	canopy_cover_center (%)	canopy_cover_1 (%)	canopy_cover_2 (%)	canopy_cover_3 (%)	canopy_cover_4 (%)	T1_DBH_1	T1_DBH_2	T1_DBH_3	T1_DBH_4	T1_DBH_5	T1_DBH_6	T1_DBH_7	T1_DBH_8	T1_DBH_9	T1_DBH_10	T1_DBH_11	T1_DBH_12	T1_DBH_13	T1_DBH_14	T1_DBH_15	T1_DBH_16	T1_DBH_17	T1_DBH_18	T1_DBH_19	T1_DBH_20	T1_DBH_21	T1_DBH_22	T1_DBH_23	T1_DBH_24	T1_DBH_25	T1_DBH_26	T1_DBH_27	T1_DBH_28	T1_DBH_29	T1_DBH_30	T2_DBH_1	T2_DBH_2	T2_DBH_3	T2_DBH_4	T2_DBH_5	T2_DBH_6	T2_DBH_7	T2_DBH_8	T2_DBH_9	T2_DBH_10	T2_DBH_11	T2_DBH_12	T2_DBH_13	T2_DBH_14	T2_DBH_15	T2_DBH_16	T2_DBH_17	T2_DBH_18	T3_DBH_1	T3_DBH_2	T3_DBH_3	T3_DBH_4	T3_DBH_5	T3_DBH_6	T3_DBH_7	T3_DBH_8	T3_DBH_9	T3_DBH_10	T3_DBH_11	T3_DBH_12	T3_DBH_13	T3_DBH_14	T3_DBH_15	T3_DBH_16	T3_DBH_17	T3_DBH_18	T3_DBH_19	T3_DBH_20	T3_DBH_21	T3_DBH_22	T3_DBH_23	T3_DBH_24	T3_DBH_25	T3_DBH_26	T3_DBH_27	T4_DBH_1	T4_DBH_2	T4_DBH_3	T4_DBH_4	T4_DBH_5	T4_DBH_6	T4_DBH_7	T4_DBH_8	T4_DBH_9	T4_DBH_10	T4_DBH_11	T4_DBH_12	T4_DBH_13	T4_DBH_14	T4_DBH_15	T4_DBH_16	T4_DBH_17	T4_DBH_18	T4_DBH_19	T4_DBH_20	T4_DBH_21	T4_DBH_22	T4_DBH_23	T4_DBH_24	BIG TREE_1	BIG TREE_2	BIG TREE_3	BIG TREE_4	BIG TREE_5	BIG TREE_6	BIG TREE_7	BIG TREE_8	BIG TREE_9	BIG TREE_10	BIG TREE_11	BIG TREE_12	BIG TREE_13	BIG TREE_14	BIG TREE_15	BIG TREE_16	BIG TREE_17	BIG TREE_18	BIG TREE_19	BIG TREE_20
T4ZF4M	85,752	84,045	94,161	85,42	92,771	7	3	2	0,5	(L)2	2,5	0,5	1,5	6	1,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,5	3	8	(L)6	1,5	16,5	7,5	0,3	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	4,5	102	8	1,5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,6	10	3	2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	213	80	90	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIYMCS	91,037	75,786	90,948	93,847	86,181	0,5	5	1	1,5	(L)5	11	1	4,5	1,5	1	4	3	2,5	1,5	1,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,5	0,3	0,3	0,4	1	1,5	0,7	(L)3	(L)1	0,7	1	0,4	2	2,5	0,2	NA	NA	NA	0,3	0,2	0,4	0,5	0,6	1,7	0,3	12	0,2	0,8	0,5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,1	1,5	6	0,5	9	0,6	(L)2	1	3	1	0,6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	103	66	90	96	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE8SYJ	13,148	3,211	65,516	43,613	0,421	13	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4,5	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102	73	88	73	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T3JY78	2,367	1,598	37,294	19,167	55,16	11	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	11	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	10	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	160	72	105		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUP4R5	67,482	0,216	1,095	35,405	57,623	11	2	0,8	0,8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,2	0,2	0,3	0,3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1,6	20	0,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	180	82	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP2FUA	72,8	69,353	74,722	80,324	75,279	0,7	0,9	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,8	1,1	13	1,2	(L)2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	4	0,8	1,3	0,7	0,8	9	0,7	1,4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,5	1	1	1,1	1	(L)1,1	2	(L)1	1	0,6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	270	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TGJ4FW	87,554	84,237	85,327	94,276	87,552	13	0,8	(L)2	(L)3	11	12	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	1,5	0,5	0,5	0,8	1	0,3	7	2,5	3	0,5	0,4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	7	0,5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	175	95	78	80	75	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TG1QMA	94,142	96,38	94,843	73,462	94,711	3	3	(L)1,5	1	1	(L)1,5	0,8	7	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	0,7	2,8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(L)1	1,5	0,7	0,6	1,5	1,5	(L)4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,8	0,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTFJBN	82,85	74,218	93,259	89,139	71,58	14	(L)2	1,5	(L)1	0,2	1,5	1	(L)1	5	0,5	5,5	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	8	1	0,5	0,5	1	1	0,6	1,2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,2	0,3	0,4	1	2,5	1,5	1	2,3	4	1,5	1	1,5	1,5	2,5	1,5	2,5	1,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0,5	0,4	0,2	0,3	0,2	0,5	0,5	0,2	0,7	0,2	(L)1	12	(L)0,5	(L)0,4	0,2	(L)0,5	3	(L)0,2	(L)0,3	10	(L)0,4	0,2	0,2	0,8	62	69	130	76	83	67	116	66	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TDKTHY	88,158	91,897	94,425	92,578	95,798	1,2	15	2	1,9	1,6	1,5	2	1,5	2	(L)1	1,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2,5	6	4	12,5	2	1,5	1,2	(L)4	2	5,5	NA	NA	NA	NA	NA	NA	NA	NA	1,5	2,5	1,6	1,2	11,5	1,7	3	1,2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	1,5	0,3	2,5	1,2	5,5	5,5	5,6	2,4	1,2	3	12	0,5	3	3	11,5	7,5	1,5	(L)4	NA	NA	NA	NA	NA	65	78	75	99	73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
